Symbol,11/6/2025 16:00:00,11/7/2025 16:00:00,11/10/2025 16:00:00,11/11/2025 16:00:00,11/12/2025 16:00:00,11/13/2025 16:00:00,11/14/2025 16:00:00,11/17/2025 16:00:00,11/18/2025 16:00:00,11/19/2025 16:00:00,11/20/2025 16:00:00,11/21/2025 16:00:00,11/24/2025 16:00:00,11/25/2025 16:00:00,11/26/2025 16:00:00,12/2/2025 16:00:00,12/3/2025 16:00:00,12/4/2025 16:00:00,12/5/2025 16:00:00
VMM,1.31,1.3,1.38,1.38,1.45,1.33,1.35,1.38,1.32,1.35,1.37,1.26,1.34,1.4,0.98,1.03,1.12,1.17,1.17
NCC,144.4,143.2,145.4,146.6,145.8,145,143.8,143,142,141.6,147,146.6,150,146.6,146.2,148.4,148.4,146,146,145.8,146.6,144.6
IOC,52.9,53.14,53.74,52.5,53.28,52.08,53.12,52.6,49.55,50.58,49.62,49.4,50.96,51.1,51.86,50.78,52,50.86,50.76,50.42,51.4,51.3
GILLETTE,8706.5,8480.5,8476,8284.5,8509.5,8463.5,8539,8586.5,8343.5,8342.5,8404,8276.5,8445.5,8406,8428,8763,8684.5,8578,8378.5,8332,8535,8345
ACE,1.88,1.93,1.93,1.95,1.86,1.86,1.83,1.81,1.72,1.76,1.79,1.75,1.76,1.8,1.79,1.78,1.79,1.73,1.68,1.64,1.6,1.61
CREDITACC,1337.5,1346.9,1407.8,1369.2,1367.8,1355.8,1366.7,1356,1328.5,1321.2,1328.3,1359.2,1392.3,1389.2,1370,1372,1337.1,1344,1324.8,1334.1,1347,1290.7
INDIACEM,389,378.45,378.7,390.8,392.25,394.35,392.85,412.15,411.3,416.9,407.8,403.7,396.85,399.55,397.4,398.45,392.8,386.65,382.95,375.7,412.15,416.2
SHREECEM,27450,27375,27090,27035,27095,26995,26700,26680,26420,26510,26480,26480,26490,26455,26935,26755,26400,26415,26545,26300,26450,26075
PAYTM,1320.6,1346.5,1330.7,1332.6,1306.2,1307.5,1299.2,1332.9,1295.5,1282.6,1283.9,1265.8,1260.7,1241.4,1286.5,1293.1,1320.6,1367.8,1364.2,1338.9,1328.6,1344.6
IIFL,520.75,526.3,541.9,540.75,540.35,537.65,547.3,561.6,565.15,557.55,544.75,540,536.8,557.4,570.75,568.8,578.7,587.45,580.75,574.4,566.35,569.35
CEATLTD,3970.6,4026,4114.8,4087.3,4071,4005.1,3986.4,4019.9,3885.6,3894.6,3877.5,3877.8,3813,3872.9,3888.2,3869.6,3847,3840.6,3909,3982.7,3888.7,3906.9
